epoch,accuracy,auprc,auroc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auprc,val_auroc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
10,0.9213891625404358,0.5183554291725159,0.8896806240081787,3244.0,604.0,0.20375899970531464,0.671381950378418,0.27556943893432617,43868.0,1234.0,0.9091577529907227,0.39357230067253113,0.8527708053588867,199.0,48.0,0.246525377035141,0.529411792755127,0.2134387344121933,2418.0,54.0
11,0.925270676612854,0.5580497980117798,0.9006760120391846,3017.0,641.0,0.19470520317554474,0.6950523257255554,0.3262617290019989,43831.0,1461.0,0.9106289148330688,0.40308406949043274,0.8576914668083191,195.0,48.0,0.23508629202842712,0.5471698045730591,0.2292490154504776,2418.0,58.0
12,0.9282941818237305,0.5936865210533142,0.9084115028381348,2808.0,702.0,0.18665489554405212,0.7040472030639648,0.37293434143066406,43770.0,1670.0,0.9091577529907227,0.39338940382003784,0.8528509736061096,196.0,51.0,0.24089691042900085,0.5277777910232544,0.22529643774032593,2415.0,57.0
13,0.9307864904403687,0.624583899974823,0.9171106219291687,2640.0,748.0,0.1786785125732422,0.7107502222061157,0.41045108437538147,43724.0,1838.0,0.9106289148330688,0.4060094952583313,0.8343366980552673,205.0,38.0,0.28189873695373535,0.5581395626068115,0.18972331285476685,2428.0,48.0
14,0.936241090297699,0.6734020709991455,0.9276196956634521,2356.0,765.0,0.16631342470645905,0.7350190281867981,0.47387227416038513,43707.0,2122.0,0.9069510698318481,0.3979637026786804,0.8570183515548706,167.0,86.0,0.2504039406776428,0.5,0.33992093801498413,2380.0,86.0
15,0.9415117502212524,0.7111815214157104,0.9341101050376892,2111.0,752.0,0.157104030251503,0.758897066116333,0.5285841822624207,43720.0,2367.0,0.8984920978546143,0.40832123160362244,0.8515910506248474,145.0,131.0,0.2856981158256531,0.45188283920288086,0.4268774688243866,2335.0,108.0
16,0.9471092820167542,0.7538325190544128,0.9428064823150635,1869.0,720.0,0.14488081634044647,0.7837188243865967,0.5826261639595032,43752.0,2609.0,0.8948142528533936,0.3856129050254822,0.8450107574462891,163.0,123.0,0.28880348801612854,0.4225352108478546,0.35573121905326843,2343.0,90.0
17,0.9490500688552856,0.7738555669784546,0.948417067527771,1748.0,746.0,0.1377473771572113,0.7853854894638062,0.6096471548080444,43726.0,2730.0,0.901802122592926,0.35493767261505127,0.8320935964584351,176.0,91.0,0.3304300904273987,0.4583333432674408,0.30434781312942505,2375.0,77.0
18,0.9536669850349426,0.8057129383087158,0.9549012780189514,1560.0,708.0,0.12716999650001526,0.8047435283660889,0.651630163192749,43764.0,2918.0,0.8951820731163025,0.39591506123542786,0.832950234413147,140.0,145.0,0.3277055323123932,0.43798449635505676,0.4466403126716614,2321.0,113.0
19,0.9574055075645447,0.830920398235321,0.9601035714149475,1443.0,642.0,0.1179557517170906,0.8254011273384094,0.6777579188346863,43830.0,3035.0,0.902169942855835,0.3805985152721405,0.8417280316352844,176.0,90.0,0.3037790358066559,0.46107783913612366,0.30434781312942505,2376.0,77.0
20,0.9611848592758179,0.8526046276092529,0.9662028551101685,1259.0,641.0,0.10867267102003098,0.8339378237724304,0.7188476920127869,43831.0,3219.0,0.9054799675941467,0.4058120846748352,0.8308481574058533,163.0,94.0,0.3583080768585205,0.489130437374115,0.35573121905326843,2372.0,90.0
